id,title,release_date,runtime,genre,poster_path,overview,crew,cast,similar_movie
1,샤잠!,2019-03-23,132,"[35, 12, 14, 28]",http://image.tmdb.org/t/p/original//sPZxApU8d90Czd11S60UqOhuP9R.jpg,"솔로몬의 지혜, 헤라클레스의 힘, 아틀라스의 체력, 제우스의 권능, 아킬레스의 용기, 머큐리의 스피드까지 우연히 슈퍼 파워를 얻게 된 소년. 자신의 능력을 깨닫고 악당을 물리치는 슈퍼히어로로 다시 태어난다! 주문을 외쳐라, ‘샤잠’!",[1302082],"[69899, 2983, 1768966, 1774679, 11702]","[284052, 9021, 364, 9651, 10138]"
2,어벤져스: 엔드게임,2019-04-24,181,"[12, 878, 28]",http://image.tmdb.org/t/p/original//n78LK2t1uQP68Ud0VXHRe0HmKOp.jpg,"인피니티 워 이후 절반만 살아남은 지구, 마지막 희망이 된 어벤져스! 먼저 떠난 그들을 위해 모든 것을 걸었다!","[19272, 19271]","[3223, 16828, 74568, 103]","[49521, 9738, 1452, 1979, 155]"
3,캡틴 마블,2019-03-06,124,"[28, 12, 878]",http://image.tmdb.org/t/p/original//jWd9tWuoDPN561r7vp4ekngEe7f.jpg,"1995년, 공군 파일럿 시절의 기억을 잃고 크리족 전사로 살아가던 캐럴 댄버스(브리 라슨)가 지구에 불시착한다. 쉴드 신참 요원 닉 퓨리(사무엘 L. 잭슨)에게 발견되어 팀을 이룬 그들은 지구로 향하는 더 큰 위협을 감지하고 힘을 합쳐 전쟁을 끝내야 하는데…","[53068, 53069]","[60073, 2231, 77335, 9642]","[9738, 10138, 10195, 1771, 100402]"
4,명탐정 피카츄,2019-05-03,105,"[9648, 10751, 80, 14, 35, 878]",http://image.tmdb.org/t/p/original//8Vb7PJ2aUzel5iQ6R2Jxe4MTWac.jpg,"기억을 잃은 채 깨어난 피카츄, 난 누구? 여긴 어디? 유일한 단서는 탐정모자에 적힌 해리란 이름과 주소. 주소 속 아파트에서 자신의 말을 유일하게 알아 듣는, 실종된 해리의 아들 팀 굿맨을 만나게 된다. 명탐정의 촉으로 이건 그야말로 대.박.사.건! 사라진 아빠를 찾기 위해 피카츄와 떠나는 기상천외한 모험이 시작된다. 피카피카!",[65630],"[10859, 1029934, 221192, 2440, 3899]","[12150, 4771, 2275, 807, 392044]"
5,도라에몽: 진구의 보물섬,2018-03-03,109,[16],http://image.tmdb.org/t/p/original//nWe3eY9YZC2EG5PFwIAENiqay4J.jpg,보물을 찾기로 결심한 진구는 도라에몽의 ‘보물찾기 지도’로 수수께끼 섬을 발견한다.  ‘노진구올라호’를 타고 보물섬으로 향하던 도라에몽과 친구들은 해적에게 습격 당하고 이슬이까지 납치되고 마는데…  우연히 바다에서 표류하던 소년 플록과 앵무새 퀴즈를 만나 보물섬의 비밀에 대해 알게 된다! 과연 캡틴도라와 친구들은 수수께끼 섬에 잠든 환상의 보물을 찾을 수 있을까?,[1297518],"[1241939, 932986, 9715, 1142780]","[34433, 28609, 44251, 505262, 39108]"
6,헬보이,2019-04-10,121,"[28, 12, 14]",http://image.tmdb.org/t/p/original//gua7L4syuPUZeG35lpu5xvOzquH.jpg,"헬보이' 자신이 소속된 B.P.R.D의 임무로 영국의 한 비밀 단체의 괴수 사냥을 도우러 갔지만 되려 공격을 당하고, 곧 영국에서 어마어마한 일이 벌어지고 있다는 것을 알게 된다. 서기 566년, 아서왕에게 패하고 몸이 7조각으로 나뉘어 봉인된 '블러드 퀸'을 다시 부활시켜 인류를 파멸시키려는 초자연적 빌런들에 의해 영국은 물론 전 세계가 위험에 빠지게 된다. 헬보이는 이들에 맞서 인류를 위험으로부터 구해야만 하는데…",[57581],"[35029, 63, 6972, 18307, 1535218]","[9738, 36647, 10138, 10195, 1771]"
7,장난스런 키스,2019-02-14,123,"[10749, 35]",http://image.tmdb.org/t/p/original//wtaSH8MfJSCEIrrEX9SQuHdU5sl.jpg,"A반 남신 ‘장즈수’와 처음 본 순간 KISS한 F반 ‘위안샹친’! 수학처럼 안 풀려도 절대 포기할 수 없는 확률 0% 멀고도 용감한 짝사랑 일대기.  장난 아니게 설레는 로코의 새로운 흥행 공식. 2019년 봄, 너 x 나 = 공식 ♡ 로코",[1495940],"[1473995, 1574909, 2238409, 1675023]","[505262, 378064, 81, 11430, 7249]"
8,콜드 체이싱,2019-02-07,119,"[28, 18, 53, 80, 35]",http://image.tmdb.org/t/p/original//r2pzXSlKzof7U7ahrX5hh1HNGit.jpg,"평범한 제설차 운전수이자 올해의 모범시민 ‘넬스 콕스맨’. 법 없이도 살 수 있던 그는 마약 조직의 사이코패스 보스 ‘바이킹’이 꾸며낸 아들의 처참한 죽음 앞에서 분노의 심판자로 다시 태어난다. ‘스피도’, ‘림보’, ‘산타’ 등 마피아들을 연달아 처단하며 그들의 소굴에 한 걸음 가까워질수록 ‘넬스’의 분노는 죽음도 대신할 수 없는 깊은 복수심으로 소용돌이 치는데…",[95972],"[3896, 4784, 2202462, 67979, 98661]","[275, 345887, 281957, 979, 479]"
9,글래스,2019-01-16,130,"[53, 9648, 18, 14, 878]",http://image.tmdb.org/t/p/original//jFcPLDPjphkW4P4b1JhGN2Ggthk.jpg,"틈틈이 도시의 수호자로 활약하며 지내던 데이빗은 납치범 케빈의 존재를 알게 된다. 두 사람은 서로의 비범한 능력을 알아보지만 대결을 마무리 짓기도 전에 엘리 스테이플 박사(사라 폴슨)에 의해 정신병원에 수감된다. 병원에는 두 사람 외에 미스터 글래스도 입원해 있다. 엘리 박사는 이들을 자신이 슈퍼히어로라 믿는 과대망상 환자로 치부한다. 그 와중에 글래스는 자신만의 계획을 실행에 옮긴다. 불행한 히어로 데이빗과 상처 깊은 안티 히어로 케빈의 대결을 부추기고, 슈퍼히어로의 존재를 세상에 알리고자 한다. 그러면서 자신은 배후의 설계자이자 창조자로 남으려 한다.",[11614],"[5530, 62, 2231, 1397778, 34490]","[9738, 1927, 1979, 246655, 1924]"
10,애프터,2019-04-11,106,"[18, 10749]",http://image.tmdb.org/t/p/original//zTZ7Q9mAwBQoYaR8HgGbmBNp6AC.jpg,,[1586194],"[1753914, 1114487, 11826, 3130, 8212]","[11121, 61979, 109689, 13, 521]"
